Id|Sponsor|Status|Start|Completion|Type|Submission|Conditions|Interventions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755298|University of Zurich|Completed|Oct 2016|Nov 2020|Interventional|Mar 2016|Hypertension|Acetazolamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759614|Guangdong Association of Clinical Trials|Unknown status|Apr 2016|Jun 2019|Interventional|Mar 2016|Carcinoma|Bevacizumab,Erlotinib Hydrochloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752815|Ruijin Hospital|Unknown status|Apr 2016|Jun 2020|Interventional|Apr 2016|Lymphoma|Prednisone,Cyclophosphamide,Rituximab,Vincristine,Epirubicin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757131|The Cleveland Clinic|Completed|Jul 2016|Jul 2017|Interventional|Apr 2016|Iatrogenic Disease|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758704|St. Justine's Hospital|Completed|Oct 2015|Jun 2021|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750501|Alcresta Therapeutics, Inc.|Completed|Jul 2016|Mar 2017|Interventional|Apr 2016|Cystic Fibrosis,Fibrosis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759913|Iron Horse Diagnostics, Inc.|Unknown status|Jan 2015|Dec 2016|Observational|Apr 2016|Motor Neuron Disease,Amyotrophic Lateral Sclerosis,Sclerosis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752724|VA Puget Sound Health Care System|Completed|Mar 2016|Apr 2018|Interventional|Mar 2016|Depressive Disorder,Depression|Ketamine,Methohexital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758444|University of Colorado, Denver|Completed|Nov 2015|Feb 2019|Interventional|Apr 2016||Micronutrients,Trace Elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758067|H. Lundbeck A/S|Withdrawn|Jun 2016||Interventional|Apr 2016|Schizophrenia|Risperidone,Brexpiprazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759341|Ospedale San Giovanni Bellinzona|Completed|Feb 2016|Nov 2017|Interventional|Apr 2016|Myocardial Infarction,Cardiomyopathies,Microvascular Angina,Takotsubo Cardiomyopathy,Syndrome,Infarction|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753803|Dong-A ST Co., Ltd.|Completed|Jul 2016|Mar 2017|Interventional|Apr 2016||Pioglitazone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752490|The University of Texas Health Science Center, Houston|Completed|Apr 2016|Jul 2016|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759562|Gilead Sciences|Terminated|Nov 2016|Jul 2017|Interventional|Apr 2016|Cystic Fibrosis,Fibrosis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758262|Laval University|Unknown status|Apr 2016|Dec 2017|Interventional|Apr 2016|Hyperphagia|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754258|Children's Hospital of Eastern Ontario|Unknown status|Jan 2017|Dec 2018|Interventional|Apr 2016||Methylphenidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755207|Xinhua Hospital, Shanghai Jiao Tong University School of Medicine|Unknown status|Apr 2016|Dec 2020|Observational|Mar 2016|Acute Coronary Syndrome,Syndrome|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759900|The Skin Center Dermatology Group|Recruiting|Jan 2016|Jan 2023|Interventional|Apr 2016|Molluscum Contagiosum,Keratosis,Bowens Disease,Rosacea,Skin Diseases|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752581|Mert Özcan|Completed|Jan 2009|Apr 2013|Interventional|Apr 2016|Hemarthrosis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759796|Instituto de Investigación Hospital Universitario La Paz|Completed|Nov 2015|Apr 2017|Interventional|Apr 2016|Necrosis,Neovascularization,Fat Necrosis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754063|University Hospital, Grenoble|Active, not recruiting|Jun 2016|Apr 2022|Interventional|Apr 2016|Brain Injuries,Wounds and Injuries|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750917|Foisor Orthopedics Clinical Hospital|Completed|Sep 2014|Mar 2015|Interventional|Feb 2016|Pain|Etoricoxib,Lornoxicam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753569|Institute of Cancer Research, United Kingdom|Completed|May 2016|May 2020|Observational|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751255|VU University Medical Center|Active, not recruiting|Jul 2016|Mar 2022|Interventional|Apr 2016|Multiple Myeloma,Neoplasms|Tretinoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751528|NantBioScience, Inc.|Unknown status|Dec 2016|Dec 2020|Interventional|Apr 2016|Breast Neoplasms|Vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751619|University of Campania Luigi Vanvitelli|Completed|Jan 2013|Dec 2015|Interventional|Apr 2016|Pain|Lidocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757833|Lawson Health Research Institute|Withdrawn|Feb 2019|Feb 2019|Interventional|Apr 2016|Depression,Depressive Disorder|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750761|Merck Sharp & Dohme Corp.|Completed|May 2016|Dec 2018|Interventional|Apr 2016|Infections,Bacterial Infections,Gram-Positive Bacterial Infections|Tedizolid phosphate,Tedizolid,Oxazolidinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752594|Sharda University|Completed|Apr 2015|Apr 2015|Interventional|Apr 2016|Dental Caries|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753452|Holland Bloorview Kids Rehabilitation Hospital|Unknown status|May 2015|Mar 2020|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752763|Niğde State Hospital|Completed|Oct 2015|Mar 2016|Interventional|Mar 2016|Dry Eye Syndromes,Keratoconjunctivitis Sicca|Dextrans,Povidone,Ophthalmic Solutions,Lubricant Eye Drops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753816|Spectrum Health Hospitals|Terminated|Apr 2016|Dec 2019|Interventional|Apr 2016|Burns|Tranexamic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751294|GlaxoSmithKline|Completed|May 2016|Aug 2016|Interventional|Apr 2016|Malaria|Tafenoquine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02756429|Hospices Civils de Lyon|Completed|Feb 2014|Jan 2018|Interventional|Apr 2016|Atrial Fibrillation|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750163|Università Politecnica delle Marche|Completed|Jul 2017|Jun 2019|Observational|Apr 2016|Shock|Acetaminophen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751905|Biogen|Completed|Apr 2016|May 2016|Interventional|Apr 2016|Neuralgia|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753153|University of Liege|Completed|May 2011|May 2015|Interventional|Apr 2016|Tooth Loss|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750891|Sumitomo Dainippon Pharma Co., Ltd.|Completed|Apr 2016|Jan 2020|Interventional|Apr 2016|Glioblastoma,Glioma,Diffuse Intrinsic Pontine Glioma|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751073|Mayo Clinic|Completed|Feb 2016|Jul 2018|Observational|Feb 2016|Infections,Communicable Diseases,Urinary Tract Infections,Prolapse,Pelvic Organ Prolapse|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753114|University of British Columbia|Completed|Nov 2017|May 2018|Interventional|Apr 2016|Acute Pain|Ketamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752516|Chia Tai Tianqing Pharmaceutical Group Co., Ltd.|Unknown status|Apr 2016|Dec 2017|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752269|Medical University of Graz|Completed|Oct 2014|Jun 2019|Observational|Nov 2015|Sjogrens Syndrome,Hypertension,Vascular Diseases,Syndrome|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754713|Hippocration General Hospital|Recruiting|Sep 2009|Dec 2025|Observational|Apr 2016|Pericarditis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759770|Beijing Anzhen Hospital|Completed|Jul 2017|Sep 2017|Observational|Apr 2016|Respiratory Distress Syndrome,Acute Lung Injury|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755129|Medtronic BRC|Completed|Sep 2016|Jul 2017|Interventional|Mar 2016|Frailty|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754674|Samsung Medical Center|Completed|May 2014|Dec 2017|Interventional|Feb 2015|Rupture|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757521|Washington University School of Medicine|Terminated|Mar 2016|Dec 2016|Interventional|Apr 2016|Disease,Depression,Depressive Disorder,Bipolar Disorder|Nitrous Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750774|University of Modena and Reggio Emilia|Unknown status|Dec 2015|Dec 2016|Interventional|Apr 2016|Diabetes,Obesity,Pregnancy Complications,Fetal Macrosomia,Overweight,Birth Weight|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754739|Samsung Medical Center|Completed|Apr 2014|Aug 2017|Interventional|Apr 2016|Diabetes Mellitus,Prediabetic State|Pravastatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758808|University of Michigan|Recruiting|Mar 2016|Oct 2023|Observational [Patient Registry]|Apr 2016|Lung Diseases,Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,Fibrosis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751840|Tel Hai College|Completed|Oct 2014|Apr 2016|Interventional|Apr 2016|Asymptomatic Diseases|Caffeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752451|University of Arizona|Completed|Mar 2015|Apr 2015|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757599|Rigshospitalet, Denmark|Completed|Aug 2016|Jun 2017|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753894|Astellas Pharma Inc|Completed|Jan 2008|Jun 2008|Interventional|Mar 2016|Kidney Diseases,Renal Insufficiency,Hyperphosphatemia|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757638|Texas A&M University|Active, not recruiting|Oct 2015|Oct 2021|Interventional|Feb 2016|Weight Loss|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757378|Kevin Farrell|Completed|May 2015|Sep 2015|Interventional|Apr 2016|Back Pain,Low Back Pain|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751489|Bayer|Completed|May 2016|May 2016|Interventional|Apr 2016|Dermatitis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759315|Merck Sharp & Dohme Corp.|Terminated|May 2016|Nov 2017|Interventional|Apr 2016|Hepatitis A,Hepatitis C,Hepatitis|Uprifosbuvir,Ruzasvir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754895|Massachusetts General Hospital|Completed|Oct 2014|May 2017|Interventional|Apr 2016|Acute Coronary Syndrome,Syndrome|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750475|Bayer|Completed|May 2016|May 2016|Interventional|Apr 2016|Dermatitis|Sunscreening Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755064|Adil Bharucha|Completed|Jun 2010|Nov 2013|Interventional|Apr 2016|Diabetes Mellitus|Erythromycin,Erythromycin Estolate,Erythromycin Ethylsuccinate,Erythromycin stearate,Erythromycin lactobionate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758002|University of California, San Diego|Withdrawn|Jan 2016|Dec 2018|Interventional|Apr 2016|Atrial Fibrillation|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755142|medac GmbH|Completed|Feb 2000|Jun 2001|Interventional|Apr 2016|Glioma,Brain Neoplasms|Aminolevulinic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02756364|Millennium Pharmaceuticals, Inc.|Completed|Jul 2016|Nov 2019|Interventional|Apr 2016|Breast Neoplasms|Fulvestrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759484|Rush University Medical Center|Unknown status|Mar 2015|Mar 2019|Interventional|Dec 2015|Hypertension,Diabetes Mellitus,Hyperglycemia|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752061|Harvard School of Public Health (HSPH)|Completed|May 2016|Jul 2020|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02756598|Aarhus University Hospital|Completed|Jan 2015|Jun 2018|Interventional|Dec 2015||Sufentanil,Dsuvia,Propofol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755727|Royal Devon and Exeter NHS Foundation Trust|Completed|Mar 2016|Sep 2017|Interventional|Apr 2016|Tennis Elbow|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754882|Samsung Bioepis Co., Ltd.|Completed|Jul 2016|Oct 2018|Interventional|Mar 2016|Lung Neoplasms,Carcinoma|Paclitaxel,Bevacizumab,Carboplatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754778|Martin-Luther-Universität Halle-Wittenberg|Completed|Apr 2016|Mar 2021|Interventional|Apr 2016|Pre-Eclampsia,HELLP Syndrome,Syndrome|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758171|Boehringer Ingelheim|Completed|May 2016|Aug 2016|Interventional|Apr 2016||Empagliflozin,Linagliptin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755376|Samsung Medical Center|Completed|Jan 2014|Dec 2018|Interventional|Feb 2015||Hyaluronic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759016|Boehringer Ingelheim|Completed|Jun 2016|Jul 2019|Interventional|Apr 2016|Leukemia|BI 836826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758457|University of Bologna|Completed|Jan 2008|Apr 2015|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755519|Chongqing Medical University|Completed|May 2014|Oct 2016|Observational|Apr 2016|Hyperaldosteronism|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758782|Charite University, Berlin, Germany|Completed|Sep 2016|Jan 2021|Interventional|Apr 2016|Spondylitis|Celecoxib,Golimumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02756806|Cutera Inc.|Completed|Apr 2016|Sep 2016|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02756156|Kahramanmaras Sutcu Imam University|Unknown status|Apr 2016|Aug 2016|Observational|Mar 2016|Humeral Fractures|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759458|Rush University Medical Center|Completed|Nov 2013|Jan 2017|Interventional|Apr 2016|Rotator Cuff Injuries|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750982|Brown, Theodore R., M.D., MPH|Completed|Jul 2016|Aug 2018|Interventional|Apr 2016|Parkinson Disease,Multiple Sclerosis,Alzheimer Disease,Brain Injuries,Spinal Cord Injuries,Motor Neuron Disease,Amyotrophic Lateral Sclerosis,Huntington Disease,Sclerosis,Wounds and Injuries|,,,,,,,,,,,,,,,,,,,,,,,
NCT02751502|NYU Langone Health|Terminated|Jan 2017|Feb 2021|Interventional|Apr 2016|Hemiplegia|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752087|Eli Lilly and Company|Completed|Apr 2016|May 2016|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02756858|Anavex Life Sciences Corp.|Completed|Mar 2016|Nov 2020|Interventional|Mar 2016|Alzheimer Disease|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758249|Konkuk University Medical Center|Completed|Jan 2016|Jan 2016|Interventional|Feb 2016||Propofol,Sevoflurane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754570|University of Colorado, Denver|Completed|Jul 2016|Feb 2018|Interventional|Apr 2016|Glaucoma,Ocular Hypertension,Hypertension|Pilocarpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754102|Bayer|Completed|May 2016|May 2016|Interventional|Apr 2016|Dermatitis|Sunscreening Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751593|Peking University People's Hospital|Unknown status|Jan 2016|Dec 2017|Interventional|Apr 2016|Thrombocytopenia,Purpura|Dexamethasone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757014|Bayer|Completed|Oct 2015|Oct 2015|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753062|Asan Medical Center|Recruiting|Aug 2015|Aug 2023|Interventional|Apr 2016|Lymphoma|Rituximab,Bendamustine Hydrochloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752425|Hospices Civils de Lyon|Completed|May 2016|May 2018|Interventional|Apr 2016|Speech Disorders|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757300|Marienhospital Osnabrück|Unknown status|May 2016|Jul 2017|Interventional|Apr 2016|Pharyngitis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754180|Peking Union Medical College Hospital|Unknown status|Mar 2016|Mar 2021|Interventional|Apr 2016|Adenocarcinoma,Pancreatic Neoplasms|Gemcitabine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752321|Northwell Health|Terminated|Aug 2016|Dec 2017|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02753595|Eisai Inc.|Terminated|Jul 2016|Aug 2019|Interventional|Apr 2016|Breast Neoplasms|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755246|Charite University, Berlin, Germany|Completed|Apr 2016|Sep 2016|Interventional|Apr 2016|Cognitive Dysfunction|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754115|Tata Memorial Centre|Recruiting|Apr 2016|Jan 2022|Observational|Mar 2016|Peritoneal Diseases|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02756897|M.D. Anderson Cancer Center|Active, not recruiting|Jul 2016|Jul 2024|Interventional|Apr 2016|Lymphoma,Leukemia|Venetoclax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752334|Magrabi Eye & Ear Hospital|Completed|Sep 2015|Mar 2019|Interventional|Mar 2016||Magnesium Sulfate,Bupivacaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754791|Shaare Zedek Medical Center|Unknown status|May 2016|May 2017|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02754128|Holland Bloorview Kids Rehabilitation Hospital|Completed|Jun 2016|Oct 2017|Interventional|Apr 2016|Cerebral Palsy|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751190|Umeå University|Completed|Sep 2013|Feb 2017|Observational [Patient Registry]|Apr 2016|Chronic Pain,Hernia|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751645|Oregon Health and Science University|Unknown status|Jun 2016|May 2020|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758184|Duke University|Terminated|Jun 2016|May 2018|Interventional|Apr 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02751892|University of East Anglia|Completed|Oct 2013|Sep 2014|Interventional|Apr 2016|Colorectal Neoplasms|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02755324|Leiden University|Completed|Oct 2016|Jan 2019|Interventional|Apr 2016|Schistosomiasis|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02758886|Washington State University|Completed|Apr 2014||Interventional|Apr 2016|Stress|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750072|Fraser Orthopaedic Research Society|Active, not recruiting|Sep 2016|Apr 2023|Interventional|Apr 2016|Patellofemoral Pain Syndrome,Fractures,Tibial Fractures|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02750332|Cycle Pharmaceuticals Ltd.|Completed|Nov 2015|Jan 2016|Interventional|Apr 2016|Tyrosinemias|Nitisinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02752529|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine|Unknown status|Mar 2016||Interventional|Mar 2016|Liver Cirrhosis|Tacrolimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759939|Dartmouth-Hitchcock Medical Center|Completed|Jul 2016|Jul 2017|Interventional|Feb 2016||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02757157|European Respiratory Society|Terminated|Oct 2016|Jan 2020|Interventional|Apr 2016|Lung Diseases,Pulmonary Disease|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT02759627|Istanbul University|Completed|Nov 2014|Mar 2016|Interventional|Apr 2016|Stroke|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
